File,Target,ShotNumber,Distance(m),LaserPower,SpectrumTotal,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,Total,SiO2_RMSEP,TiO2_RMSEP,Al2O3_RMSEP,FeOT_RMSEP,MgO_RMSEP,CaO_RMSEP,Na2O_RMSEP,K2O_RMSEP,labels
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,43,5.70727,100A/95A/95A,1.19E+14,59.71603,8.8486134,18.522906,7.5450741,4.0040099,2.373155,2.9293087,0.66139471,104.60049,5.265924,4.063345,3.687043,2.3174386,1.7455081,1.0628456,0.61911339,0.72291982,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,44,5.70727,100A/95A/95A,1.20E+14,59.206351,8.3432194,19.169567,7.6124355,4.7501884,2.4384467,3.2515647,0.65848574,105.43026,5.2536526,3.8189149,3.6921356,2.3252749,1.8262261,1.07514,0.6360867,0.72291982,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,45,5.70727,100A/95A/95A,1.13E+14,58.004514,6.2753698,21.424455,7.8583009,4.2303505,2.116088,3.2996327,0.7486791,103.95739,5.221416,2.8316078,3.7541168,2.3584752,1.7696496,1.0202419,0.63910609,0.76049757,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,46,5.70727,100A/95A/95A,1.06E+14,59.216409,9.0421344,17.963592,7.9302521,4.1898194,2.6333474,3.3203059,0.47231753,104.76818,5.2538953,4.1544075,3.6830809,2.3678126,1.7654169,1.1105269,0.64033276,0.64829004,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,47,5.70727,100A/95A/95A,1.13E+14,60.762729,7.0226026,20.725182,6.7516376,4.1437113,2.1675539,3.3769734,0.65294968,105.60334,5.2871599,3.1862717,3.7249515,2.2150257,1.7601258,1.0281792,0.64406019,0.71880603,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,48,5.70727,100A/95A/95A,8.94E+13,60.787373,6.9882831,13.560712,8.5439862,4.6927911,1.9112219,2.7525409,0.50703499,99.743944,5.2877054,3.1718931,3.5869443,2.4511399,1.8195714,0.98690516,0.61282653,0.66338229,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,49,5.70727,100A/95A/95A,1.13E+14,59.419836,7.8442248,19.376019,8.0370959,4.1497673,2.3076439,3.2504638,0.58627768,104.97133,5.2587504,3.5792773,3.6944168,2.3825655,1.761184,1.0523075,0.6360867,0.69462419,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,50,5.70727,100A/95A/95A,1.05E+14,58.70258,6.155609,20.299451,8.0116491,4.0055208,2.2085688,3.2817867,0.67473947,103.3399,5.2407331,2.7740946,3.7116075,2.3784838,1.7465187,1.034744,0.63788486,0.72707993,2
CL5_398737278CCS_F0030004CCAM02014P3.SAV,Goulburn_3,1,5.95906,100A/95A/95A,1.55E+14,46.090922,1.3087689,11.566754,16.602876,5.719039,5.6417284,2.7282687,0.66976665,90.328124,4.9739938,0.5650804,3.5504189,3.6459746,1.9416066,1.8789105,0.61235356,0.72707993,3
CL5_398737278CCS_F0030004CCAM02014P3.SAV,Goulburn_3,2,5.95906,100A/95A/95A,1.73E+14,39.887876,1.1052333,15.742868,21.564994,4.8142523,3.8707094,3.0280846,0.51306584,90.527084,5.4801464,0.51800501,3.6454897,4.4183373,1.8328807,1.3866035,0.62385118,0.66338229,1
CL5_398737278CCS_F0030004CCAM02014P3.SAV,Goulburn_3,3,5.95906,100A/95A/95A,2.12E+14,40.33508,0.96522997,14.513194,27.384084,3.8739371,3.22324,3.2557458,0.58165053,94.132161,5.4217811,0.48766828,3.6116018,4.856771,1.7323694,1.2321451,0.63668609,0.6905939,3
CL5_398737278CCS_F0030004CCAM02014P3.SAV,Goulburn_3,4,5.95906,100A/95A/95A,2.85E+14,38.836374,1.1856756,12.194273,31.490324,3.2471825,2.5713542,3.3944433,0.53986038,93.459488,5.6229448,0.53603053,3.5602767,5.1574183,1.6714348,1.0989708,0.64468586,0.67498809,1
